DT,流动性,基本面,风险偏好,T_price,TF_price,反转信号,弹性信号,基本面空间,价格空间,国债10Y,流动性新
2019-10-17,0.375066615680813,0.44614059369778586,0.40299999999999997,101.94535330781582,103.1291119326298,0.0,1.0,-1,-1.0,3.1569,0.5594602863864202
2019-10-18,0.3773479665918171,0.4449741221592973,0.4008000000000001,101.76233284152839,103.02058761159425,0.0,1.0,-1,-1.0,3.187,0.562304361412651
2019-10-21,0.38330668671751134,0.44597221679524035,0.4064666666666667,101.51871294427767,102.85521721763534,0.0,1.0,-1,-1.0,3.2196,0.5719244404600639
2019-10-22,0.3890416070695544,0.45011972897163277,0.4127333333333334,101.51484272851866,102.85004939282413,-1.0,0.0,-1,-1.0,3.2196,0.5791126524407308
2019-10-23,0.3865849699044415,0.45034403539131196,0.4138666666666667,101.57391444273496,102.91723111536994,-1.0,0.0,-1,-1.0,3.2122,0.5728843315392618
2019-10-24,0.3849669536441094,0.4506948107664728,0.4206666666666666,101.56444259890374,102.92239894018114,-1.0,0.0,-1,-1.0,3.2196,0.569931218242964
2019-10-25,0.3841769139576809,0.4502024679668313,0.4260666666666666,101.41024505524254,102.89139199131384,-1.0,0.0,-1,-1.0,3.2372,0.5690982899598823
2019-10-28,0.39245792427310666,0.45105031349748653,0.43246666666666667,101.0224086970775,102.77769984546708,-1.0,0.0,-1,-1.0,3.2924,0.5836877307948096
2019-10-29,0.40032122582723817,0.45673671379795133,0.43019999999999997,100.86678528445245,102.73118942216614,-1.0,0.0,-1,-1.0,3.3029,0.5965563349059237
2019-10-30,0.41107807782898204,0.4567371092515486,0.4295333333333333,100.579268992672,102.51414078009506,-1.0,0.0,-1,-1.0,3.3125,0.6068609850747946
2019-10-31,0.4125001301836343,0.4604449903064026,0.4118000000000001,100.8559894194405,102.6898468236764,-2.0,0.0,-1,-1.0,3.288,0.6080812689599735
2019-11-01,0.409917856890232,0.47745399653151543,0.4246,100.88226614748845,102.78286767027828,-2.0,0.0,-1,-1.0,3.2757,0.5970627916407159
2019-11-04,0.41582250983033725,0.4789648920670825,0.43673333333333336,100.6660433039001,102.71568594773247,-1.0,0.0,-1,-1.0,3.2954,0.5997120937710196
2019-11-05,0.4087961589757746,0.47983681697746494,0.44373333333333337,101.09512801423342,102.8862241665026,-1.0,0.0,-1,-1.0,3.2454,0.5874255463204208
2019-11-06,0.4030166710091354,0.48019027815927184,0.44639999999999996,101.0753695443059,102.93273458980356,-1.0,1.0,-1,-1.0,3.2555,0.5767312864897092
2019-11-07,0.37756529983420606,0.4856536909711719,0.4416666666666667,100.86444278544039,102.92756676499233,-1.0,1.0,-1,-1.0,3.2736,0.5790702193651915
2019-11-08,0.3800986814812476,0.48803833041189315,0.4390666666666666,100.90395972529545,102.84488156801288,-1.0,1.0,-1,-1.0,3.2765,0.5826208207234522
2019-11-11,0.37868822763929644,0.48778594825305943,0.4311333333333333,101.17548591512423,102.99474848753816,-1.0,1.0,0,-1.0,3.2463,0.5765994542615194
2019-11-12,0.3759536333388564,0.48544554272456775,0.434,101.11142365953447,102.94823806423722,0.0,1.0,0,-1.0,3.255,0.5737510416681816
2019-11-13,0.3757195347289678,0.4864766253649667,0.4267333333333333,101.32744280755654,102.99474848753816,0.0,1.0,0,-1.0,3.237,0.57678477279369
2019-11-14,0.3786522319280167,0.4888545356815167,0.4271333333333334,101.21673426729251,102.95340588904843,-1.0,0.0,0,-1.0,3.2555,0.5799099337943733
2019-11-15,0.37885068125365096,0.48895263032010605,0.42746666666666666,101.40016212471248,103.03092326121667,-1.0,0.0,0,-1.0,3.2355,0.5779947695581246
2019-11-18,0.3711617217146739,0.4925454394654628,0.42753333333333343,101.76131436369704,103.22730060404288,-1.0,0.0,0,1.0,3.1993,0.5631799586897664
2019-11-19,0.3581348831972915,0.4921253174083249,0.4238,101.97046737082061,103.31515362583355,-1.0,1.0,0,1.0,3.1743,0.5383596163198691
2019-11-20,0.35060536298198397,0.49196095499884884,0.4163333333333334,101.9496034590535,103.33070376936543,-1.0,1.0,0,1.0,3.1747,0.5234429106982579
2019-11-21,0.34935895113219834,0.49585535588834817,0.41906666666666664,101.9705701487111,103.38253758113837,-1.0,1.0,0,1.0,3.1749,0.5177694490662301
2019-11-22,0.3494753539778316,0.4967456604781565,0.42093333333333327,101.92904788095782,103.39808772467026,0.0,1.0,0,1.0,3.1747,0.521398910438888
2019-11-25,0.3530808557664791,0.5004215461986613,0.43039999999999995,101.61639753812247,103.26331981406061,-1.0,1.0,0,1.0,3.1875,0.5288896998495213
2019-11-26,0.3537373560694068,0.5005264061550719,0.43466666666666676,101.76223936471133,103.30997024465626,-1.0,1.0,0,1.0,3.1675,0.5321012692503053
2019-11-27,0.34966086698262455,0.5002262201567437,0.4392666666666667,101.67909205131429,103.32033700701086,-1.0,1.0,0,1.0,3.17,0.5301039896191564
2019-11-28,0.3506644403132921,0.5065687675385523,0.43733333333333335,101.75422268925402,103.32552038818814,-1.0,1.0,0,1.0,3.165,0.5287215501124896
2019-11-29,0.3505800964351007,0.5075092681977618,0.42033333333333334,101.78382272171179,103.35662067525192,-1.0,1.0,0,1.0,3.165,0.5272385050525977
2019-12-02,0.35378208166415637,0.5031771140168149,0.41779999999999995,101.49296129165785,103.1803857152239,-1.0,1.0,0,-1.0,3.2062,0.5331275688812889
2019-12-03,0.3531956474918999,0.4995408534453838,0.4112666666666667,101.70077818620521,103.21148600228767,-1.0,1.0,0,1.0,3.1746,0.5323268540159948
2019-12-04,0.3510104447564565,0.49564849076965767,0.4199333333333333,101.74260878762993,103.30997024465626,-1.0,1.0,0,1.0,3.1751,0.5276940361561202
2019-12-05,0.3513000594075134,0.5008407649687201,0.4326666666666667,101.73027544077253,103.34625391289732,-1.0,1.0,0,1.0,3.1776,0.5274079301841306
2019-12-06,0.3534970595818945,0.5032433758915581,0.4446,101.6185558738225,103.22185276464225,-1.0,1.0,0,1.0,3.1751,0.5319024657326474
2019-12-09,0.35556937297305935,0.5046362729644286,0.45286666666666664,101.55627247219259,103.19593585875579,-1.0,1.0,0,1.0,3.1903,0.5385757166162881
2019-12-10,0.3545994849063808,0.5053137228773441,0.46346666666666675,101.7224643210962,103.2736865764152,-1.0,1.0,-1,1.0,3.1776,0.5343948714762463
2019-12-11,0.3514780164337935,0.5043295390990032,0.4739333333333333,101.76419214463043,103.34107053172002,-1.0,1.0,-1,1.0,3.1702,0.5273438128319461
2019-12-12,0.34701736104027814,0.5058071932176545,0.4781999999999999,101.74353378864427,103.38772096231568,-1.0,1.0,-1,1.0,3.1652,0.5200924869459294
2019-12-13,0.3466929236367247,0.5111320582113643,0.49693333333333334,101.59851418517923,103.29442010112439,-1.0,1.0,-1,1.0,3.1828,0.5217758724031603
2019-12-16,0.347534957462369,0.5115433034887922,0.4944,101.55760858476881,103.2788699575925,-1.0,1.0,-1,1.0,3.1854,0.5241476802984658
2019-12-17,0.3518542732018587,0.5124869534458791,0.5065999999999999,101.34280279366892,103.13891866580555,-1.0,1.0,-1,-1.0,3.2133,0.533980242984028
2019-12-18,0.3498199048376358,0.5133197508350287,0.5034,101.33067500259246,103.12336852227367,-1.0,1.0,-1,-1.0,3.2139,0.5314351509877395
2019-12-19,0.3477496664055279,0.514891840474249,0.5074666666666666,101.37219727034575,103.1855690964012,-1.0,1.0,-1,-1.0,3.2139,0.5285630233586536
2019-12-20,0.3437187230321395,0.5172805095549535,0.5052000000000001,101.62133087686544,103.35662067525192,-1.0,1.0,-1,1.0,3.1808,0.5192137283878232
2019-12-23,0.33584992080523374,0.5188673588389398,0.49733333333333335,101.70797263853876,103.46547167997511,-1.0,1.0,-1,1.0,3.1661,0.507239642415559
2019-12-24,0.3279806699085808,0.5201412902415745,0.4992666666666666,101.7453837906729,103.50175534821616,-1.0,1.0,-1,1.0,3.1535,0.495158807845104
2019-12-25,0.3306920247858865,0.5207414196770412,0.5022,101.85330057567523,103.53803901645723,-1.0,1.0,-1,1.0,3.1463,0.49670819011420464
2019-12-26,0.3296270747851961,0.521190320519845,0.5089333333333331,101.93223399556267,103.64689002118043,-1.0,1.0,-1,1.0,3.1137,0.49049463334042065
2019-12-27,0.3306473086131106,0.5208342571507761,0.5204,101.78813939311193,103.61060635293936,-1.0,1.0,-1,1.0,3.1292,0.48782129833102356
2019-12-30,0.33087182234101464,0.5216343533404005,0.5230666666666666,101.69430317910513,103.58987282823018,-3.0,1.0,-1,1.0,3.1322,0.4875246299172842
2019-12-31,0.33061966839589113,0.5180220970086898,0.5244000000000001,101.725855991482,103.61060635293936,-3.0,1.0,-1,1.0,3.1365,0.48683030541588457
